file,pdbname,username
njRAT.exe,C:\\Users\\algha_000\\AppData\\Local\\Temporary Projects\\EnKSaR.HaCKeR\\obj\\x86\\Release\\EnKSaR.HaCKeR.pdb\x00',algha_000
f152ed03e4383592ce7dd548c34f73da53fc457ce8f26d165155a331cde643a9,c:\\Users\\tmc\\Documents\\Visual Studio 2015\\Projects\\MicroBotMassiveNet\\taskhost\\obj\\x86\\Debug\\taskhost.pdb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00',tmc
Torpig miniloader_0F82964CF39056402EE2DE9193635B34,packaigee.pdb\x00',
Torpig miniloader_83419EEA712182C1054615E4EC7B8CBE,nantietive.pdb\x00',
bd039bb73f297062ab65f695dd6defafd146f6f233c451e5ac967a720b41fc14,d:\\vb_c++\\Explosive\\ExplosiveTr\\4-2013\\tools- InnerDll\\tools\\Release\\tools.pdb\x00',
Torpig miniloader_87851480DEB151D3A0AA9A425FD74E61,intterfaece.pdb\x00',
F1E546FE9D51DC96EB766EC61269EDFB,d:\\Projects\\WinRAR\\SFX\\build\\sfxrar32\\Release\\sfxrar.pdb\x00',
Potao_DebugVersion_5199FCD031987834ED3121FB316F4970,E:\\svn\\sapotao\\BIN\\node69-dropper.pdb\x00',
ea335556fecaf983f6f26b9788b286fbf5bd85ff403bb4a1db604496d011be29,d:\\vb_c++\\c++\\Profiler-P\\SmartSender\\wnhelp\\wnhelp\\Release\\wnhelp.pdb\x00',
1ee894c0b91f3b2f836288c22ebeab44798f222f17c255f557af2260b8c6a32d,C:\\Users\\tmc\\Documents\\Visual Studio 2015\\Projects\\WindowsServices\\svchost\\bin\\svchost.pdb\x00',tmc
Torpig miniloader_C3366B6006ACC1F8DF875EAA114796F0,packaghe.pdb\x00',
97ab07c8020aead6ce0d9196e03d3917045e65e8c65e52a16ec6ef660dd96968,d:\\vb_c++\\Explosive\\ExplosiveTr\\With Encryption 5-2013\\tools- InnerDll\\tools\\Release\\tools.pdb\x00',
fc75410aa8f76154f5ae8fe035b9a13c76f6e132077346101a0d673ed9f3a0dd,C:\\Users\\tmc\\Documents\\Visual Studio 2015\\Projects\\WindowsServices\\svchost\\bin\\svchost.pdb\x00',tmc
4bfe2216ee63657312af1b2507c8f2bf362fdf1d63c88faba397e880c2e39430,d:\\!work\\etc\\hideinstaller_kis2013\\Bin\\Debug\\win7\\x64\\fsflt.pdb\x00',
Torpig miniloader_4A3543E6771BC78D32AE46820AED1391,prieivatie.pdb\x00',
___2A6E.tmp,ParentDelete.pdb\x00',
Torpig miniloader_2DACC4556FAD30027A384875C8D9D900,catlashis.pdb\x00',
Potao_DebugVersion_7263A328F0D47C76B4E103546B648484,E:\\svn\\sapotao\\BIN\\node69-dropper.pdb\x00',
